title,location,time_of_work,type_of_agreement,salary,article_url
"Barmani, Barmanki...","Kraków, Czyżyny",Pełny etat,Umowa o pracę,16 zł/godz. brutto,https://www.olx.pl/oferta/barmani-barmanki-CID4-IDCR6c7.html#5f24dc52c8
Pizzer /Kucharz,13  gru,Pełny etat,Umowa o pracę,16 zł/godz. brutto,https://www.olx.pl/oferta/pizzer-kucharz-CID4-IDANGyK.html#5f24dc52c8;promoted
Pracownik Restauracji McDonald`s Bronowice koło Makro,"Kraków, Stare Miasto",Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/pracownik-restauracji-mcdonalds-bronowice-kolo-makro-CID4-IDCziso.html#5f24dc52c8
Restauracja zatrudni Kelnera,13  gru,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/restauracja-zatrudni-kelnera-CID4-IDC0Sq7.html#5f24dc52c8
Pracownik restauracji (Weekendowy),"Kraków, Krowodrza",Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/pracownik-restauracji-weekendowy-CID4-IDCQVyW.html#5f24dc52c8
Praca od zaraz,13  gru,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/praca-od-zaraz-CID4-IDCQTIH.html#5f24dc52c8
Qubus Hotel Kraków zatrudni Kucharza!,"Kraków, Bieńczyce",Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/qubus-hotel-krakow-zatrudni-kucharza-CID4-IDx6RSc.html#5f24dc52c8
Zatrudnimy kucharzy.,13  gru,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/zatrudnimy-kucharzy-CID4-IDBqvKa.html#5f24dc52c8
Qubus Hotel Kraków zatrudni Pomoc Kuchenną!,"Kraków, Stare Miasto",Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/qubus-hotel-krakow-zatrudni-pomoc-kuchenna-CID4-IDCFcND.html#5f24dc52c8
Qubus Hotel Kraków zatrudni Kucharza Śniadaniowego!,13  gru,Niepełny etat,Umowa o pracę,15 zł/godz. brutto,https://www.olx.pl/oferta/qubus-hotel-krakow-zatrudni-kucharza-sniadaniowego-CID4-IDCFaeM.html#5f24dc52c8
Praca dla studentów od 17 zł do 20 zł,"Kraków, Stare Miasto",Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/praca-dla-studentow-od-17-zl-do-20-zl-CID4-IDCL8zc.html#5f24dc52c8
Kucharz / kucharka sekcja zimna - restauracja Trattoria Degusti!,12  gru,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/kucharz-kucharka-sekcja-zimna-restauracja-trattoria-degusti-CID4-IDzyIAD.html#5f24dc52c8
Kierownik Zaplecze Kuchni w PURO Kraków Kazimierz,"Kraków, Grzegórzki",Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/kierownik-zaplecze-kuchni-w-puro-krakow-kazimierz-CID4-IDCL7RM.html#5f24dc52c8
Pracownik Zmiana Nocna McDonalds Kraków ul. Wielicka 85,12  gru,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/pracownik-zmiana-nocna-mcdonalds-krakow-ul-wielicka-85-CID4-IDCQJqZ.html#5f24dc52c8
Restauracja w Rynku Głównym zatrudni kelnera/kelnerkę,"Kraków, Dębniki",Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/restauracja-w-rynku-glownym-zatrudni-kelnera-kelnerke-CID4-IDrHxvW.html#5f24dc52c8
Szef Kuchni - Trener Kulinarny (Akademia Inspiracji MAKRO w Krakowie),12  gru,Dodatkowa / sezonowa,Umowa o pracę,od 17 zł do 20 zł/godz.  brutto,https://www.olx.pl/oferta/szef-kuchni-trener-kulinarny-akademia-inspiracji-makro-w-krakowie-CID4-IDBZacC.html#5f24dc52c8
Kelner śniadaniowy - Restauracja Trattoria Degusti (k/m),"Kraków, Podgórze",Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/kelner-sniadaniowy-restauracja-trattoria-degusti-k-m-CID4-IDB28rK.html#5f24dc52c8
"Kelner śniadaniowy - 4* hotel na Kazimierzu, Kraków",12  gru,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/kelner-sniadaniowy-4-hotel-na-kazimierzu-krakow-CID4-IDzTdUi.html#5f24dc52c8
Kelner / Kelnerka - Kazimierz,"Kraków, Prądnik Czerwony",Pełny etat,Umowa o pracę,16 zł/godz. brutto,https://www.olx.pl/oferta/kelner-kelnerka-kazimierz-CID4-IDm8wZk.html#5f24dc52c8
Pracownik Restauracji McDonalds Kraków Czyżyny 3000 brutto miesięcznie,12  gru,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/pracownik-restauracji-mcdonalds-krakow-czyzyny-3000-brutto-miesiecznie-CID4-IDCQDzH.html#5f24dc52c8;promoted
Shisha Club by Bollywood zatrudni kelnerow barmanów,"Kraków, Prądnik Czerwony",Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/shisha-club-by-bollywood-zatrudni-kelnerow-barmanow-CID4-IDBSwzD.html#5f24dc52c8
Osoba do zmywania naczyń,"Kraków, Bieżanów-Prokocim",Pełny etat,Umowa o pracę,od 3 000 zł do 4 500 zł/mies.  brutto,https://www.olx.pl/oferta/osoba-do-zmywania-naczyn-CID4-IDCTFph.html#aec01974cd;promoted
Zmywak Restauracja w galerii Bronowice,17  gru,Pełny etat,Umowa o pracę,2 500 zł/mies. brutto,https://www.olx.pl/oferta/zmywak-restauracja-w-galerii-bronowice-CID4-IDvoWSO.html#aec01974cd;promoted
Pracownik Zmiany Nocnej McDonalds Kraków Czyżyny,"Kraków, Stare Miasto",Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/pracownik-zmiany-nocnej-mcdonalds-krakow-czyzyny-CID4-IDCzXn0.html#aec01974cd;promoted
Steak Burger Grodzka 6 zatrudni barmana,16  gru,Niepełny etat,Umowa o pracę,od 15 zł do 18 zł/godz.  brutto,https://www.olx.pl/oferta/steak-burger-grodzka-6-zatrudni-barmana-CID4-IDCQiH6.html#aec01974cd
Kucharz,"Kraków, Bronowice",Pełny etat,Umowa o pracę,od 3 000 zł do 3 500 zł/mies.  brutto,https://www.olx.pl/oferta/kucharz-CID4-IDCfnlh.html#aec01974cd
