model,production year,mileage,engine capacity,price,currency,city,region
Ford Focus Mk3,2014,97 500 km,1 000 cm3,28 999,PLN,Czerte¿,Podkarpackie
Ford Focus Mk3,2011,109 000 km,1 600 cm3,29 900,PLN,Chmieleñ,Dolnoœl¹skie
Ford Focus Mk2,2009,136 927 km,1 600 cm3,17 400,PLN,Osielsko,Kujawsko-pomorskie
Ford Focus Mk3,2011,140 000 km,1 596 cm3,26 999,PLN,Œwiebodzin,Lubuskie
Ford Focus Mk3,2013,139 000 km,998 cm3,27 000,PLN,Toruñ,Kujawsko-pomorskie
Ford Focus Mk3,2013,122 000 km,998 cm3,32 900,PLN,W³oc³awek,Kujawsko-pomorskie
Ford Focus Mk2,2010,88 350 km,1 596 cm3,2 000,PLN,Opole,Opolskie
Ford Focus Mk3,2014,123 200 km,2 000 cm3,39 999,PLN,Warszawa,Mazowieckie
Ford Focus Mk3,2017,88 598 km,1 000 cm3,40 900,PLN,Wroc³aw,Dolnoœl¹skie
Ford Focus Mk3,2014,145 000 km,998 cm3,23 000,PLN,Bychawa,Lubelskie
Ford Focus Mk2,2009,97 200 km,1 798 cm3,17 999,PLN,Czerniejewo,Wielkopolskie
Ford Focus Mk3,2016,100 000 km,1 498 cm3,39 999,PLN,Sochaczew,Mazowieckie
Ford Focus Mk3,2012,129 711 km,998 cm3,26 000,PLN,Katowice,Œl¹skie
Ford Focus Mk3,2011,144 000 km,1 600 cm3,27 900,PLN,P³oñsk,Mazowieckie
Ford Focus Mk2,2010,138 524 km,1 600 cm3,17 900,PLN,Morzyczyn,Zachodniopomorskie
Ford Focus Mk3,2012,99 999 km,1 596 cm3,29 900,PLN,Luboñ,Wielkopolskie
Ford Focus Mk3,2012,112 200 km,1 000 cm3,27 900,PLN,Oleœnica,Dolnoœl¹skie
Ford Focus Mk3,2012,120 217 km,1 000 cm3,28 900,PLN,Oleœnica,Dolnoœl¹skie
Ford Focus Mk3,2015,110 000 km,1 499 cm3,18 900,PLN,Nieborowice,Œl¹skie
Ford Focus Mk3,2011,110 000 km,1 598 cm3,29 900,PLN,Bieruñ,Œl¹skie
Ford Focus Mk3,2015,88 000 km,1 596 cm3,35 400,PLN,Prusy,Ma³opolskie
Ford Focus Mk3,2012,137 000 km,1 596 cm3,32 500,PLN,Chorzów,Œl¹skie
Ford Focus Mk3,2012,108 000 km,1 600 cm3,33 500,PLN,£apino,Pomorskie
Ford Focus Mk2,2009,86 697 km,1 596 cm3,20 000,PLN,Piaseczno,Mazowieckie
Ford Focus Mk3,2012,108 500 km,998 cm3,27 999,PLN,K³obuczyn,Dolnoœl¹skie
Ford Focus Mk3,2014,127 875 km,1 596 cm3,38 000,PLN,Kraków,Ma³opolskie
Ford Focus Mk2,2009,94 042 km,1 596 cm3,22 000,PLN,Piaseczno,Mazowieckie
Ford Focus Mk3,2010,125 000 km,1 596 cm3,3 700,PLN,Piekary Œl¹skie,Œl¹skie
Ford Focus Mk2,2009,150 000 km,1 600 cm3,16 900,PLN,£aszczyn,Wielkopolskie
Ford Focus Mk3,2013,108 500 km,2 000 cm3,35 500,PLN,Kielce,Œwiêtokrzyskie
Ford Focus Mk3,2011,114 000 km,Benzyna,25 000,PLN,Skoczów,Œl¹skie
Ford Focus Mk2,2010,134 000 km,1 596 cm3,19 200,PLN,Gorzów Œl¹ski,Opolskie
Ford Focus Mk2,2009,97 215 km,1 600 cm3,21 900,PLN,Warszawa,Mazowieckie
Ford Focus Mk3,2012,96 000 km,2 000 cm3,26 600,PLN,Trzebnica,Dolnoœl¹skie
